t_s,v_out
214.7299,1.6
214.72990009999998,1.2000000000000002
214.72990019999997,1.6
214.7299003,1.2000000000000002
214.7299004,1.4000000000000001
214.72990049999999,1.6
214.72990059999998,1.6
214.72990069999997,1.4000000000000001
214.7299008,1.4000000000000001
214.7299009,1.8
214.72990099999998,1.4000000000000001
214.72990109999998,1.8
214.7299012,1.6
214.7299013,1.8
214.7299014,1.6
214.72990149999998,1.8
214.72990159999998,1.4000000000000001
214.7299017,1.8
214.7299018,1.4000000000000001
214.7299019,1.8
214.72990199999998,1.6
214.72990209999998,1.2000000000000002
214.7299022,1.6
214.7299023,1.2000000000000002
214.7299024,1.4000000000000001
214.72990249999998,1.0
214.72990259999997,1.2000000000000002
214.7299027,1.0
214.7299028,1.2000000000000002
214.72990289999998,0.8
214.72990299999998,1.0
214.72990309999997,0.8
214.7299032,0.6000000000000001
214.7299033,0.8
214.72990339999998,0.6000000000000001
214.72990349999998,0.4
214.7299036,0.6000000000000001
214.7299037,0.2
214.7299038,0.4
214.72990389999998,0.0
214.72990399999998,0.2
214.7299041,-0.2
214.7299042,0.0
214.7299043,-0.4
214.72990439999998,-0.2
214.72990449999998,-0.4
214.7299046,-0.2
214.7299047,-0.6000000000000001
214.72990479999999,-0.4
214.72990489999998,-0.8
214.72990499999997,-0.6000000000000001
214.7299051,-1.0
214.7299052,-0.8
214.72990529999998,-1.0
214.72990539999998,-0.8
214.72990549999997,-1.0
214.7299056,-0.8
214.7299057,-1.2000000000000002
214.72990579999998,-1.0
214.72990589999998,-1.2000000000000002
214.729906,-1.2000000000000002
214.7299061,-1.0
214.7299062,-1.2000000000000002
214.72990629999998,-1.0
214.72990639999998,-1.2000000000000002
214.7299065,-1.0
214.7299066,-1.2000000000000002
214.7299067,-0.8
214.72990679999998,-1.0
214.72990689999997,-0.8
214.729907,-1.0
214.7299071,-0.8
214.72990719999999,-1.0
214.72990729999998,-0.6000000000000001
214.72990739999997,-1.0
214.7299075,-0.6000000000000001
214.7299076,-0.8
214.72990769999998,-0.4
214.72990779999998,-0.6000000000000001
214.7299079,-0.2
214.729908,-0.4
214.7299081,0.0
214.72990819999998,-0.2
214.72990829999998,0.0
214.7299084,-0.2
214.7299085,0.2
214.7299086,0.0
214.72990869999998,0.4
214.72990879999998,0.2
214.7299089,0.6000000000000001
214.729909,0.4
214.7299091,0.8
214.72990919999998,0.6000000000000001
214.72990929999997,1.0
214.7299094,0.8
214.7299095,1.2000000000000002
214.72990959999998,0.8
214.72990969999998,1.2000000000000002
214.72990979999997,1.0
214.7299099,1.2000000000000002
214.72991,1.2000000000000002
214.72991009999998,1.4000000000000001
214.72991019999998,1.4000000000000001
214.7299103,1.2000000000000002
214.7299104,1.4000000000000001
214.7299105,1.6
214.72991059999998,1.4000000000000001
214.72991069999998,1.8
214.7299108,1.4000000000000001
214.7299109,1.8
214.729911,1.6
214.72991109999998,1.8
214.72991119999998,1.4000000000000001
214.7299113,1.8
214.7299114,1.8
214.7299115,1.4000000000000001
214.72991159999998,1.4000000000000001
214.72991169999997,1.8
214.7299118,1.6
214.7299119,1.4000000000000001
214.72991199999998,1.6
214.72991209999998,1.2000000000000002
214.72991219999997,1.4000000000000001
214.7299123,1.2000000000000002
214.7299124,1.2000000000000002
214.72991249999998,1.4000000000000001
214.72991259999998,1.0
214.7299127,1.4000000000000001
214.7299128,1.2000000000000002
214.7299129,0.8
214.72991299999998,0.8
214.72991309999998,1.0
